algorithm,num_agents,seed,isr,success,reached,makespan,flowtime,detour_ratio,runtime,collisions,deadlocks_detected,deadlocks_resolved,resolution_rate,agents_replanned,memory_mb,initial_planning_time,wfg_update_time,detection_time,resolution_time,map_id,map_type,map_size
drimaps,60,2024,0.3,False,18,80,533,1.5915,1.4724,0,248,248,1.0,318,47.77,0.0356,0.1088,0.0179,0.2291,dense_random,dense_random,32x32
drimaps_no_cycle,60,2024,0.1167,False,7,38,109,1.0216,1.3307,0,75,75,1.0,76,47.77,0.0368,0.1402,0.0013,0.1208,dense_random,dense_random,32x32
drimaps_no_classify,60,2024,0.3333,False,20,218,1111,2.5969,1.4964,0,276,276,1.0,420,47.77,0.0366,0.1057,0.0175,0.2859,dense_random,dense_random,32x32
drimaps_no_minimal,60,2024,0.1833,False,11,67,212,1.9694,1.9632,0,415,415,1.0,1166,47.77,0.0356,0.1253,0.0189,0.7124,dense_random,dense_random,32x32
drimaps,80,2024,0.25,False,20,86,549,2.1035,2.4318,0,433,433,1.0,590,47.77,0.0553,0.1903,0.0232,0.5214,dense_random,dense_random,32x32
drimaps_no_cycle,80,2024,0.075,False,6,12,30,1.0,1.9757,0,42,42,1.0,54,47.77,0.0465,0.2513,0.0016,0.0646,dense_random,dense_random,32x32
drimaps_no_classify,80,2024,0.25,False,20,185,967,3.7536,2.3963,0,434,434,1.0,698,47.77,0.048,0.202,0.0237,0.4849,dense_random,dense_random,32x32
drimaps_no_minimal,80,2024,0.175,False,14,127,425,2.2713,3.2102,0,533,533,1.0,1915,47.77,0.0453,0.2257,0.0254,1.1783,dense_random,dense_random,32x32
drimaps,60,13579,0.2833,False,17,96,703,1.8842,1.1105,0,183,183,1.0,233,47.77,0.0423,0.0877,0.0147,0.1622,dense_random,dense_random,32x32
drimaps_no_cycle,60,13579,0.1833,False,11,90,423,1.5579,1.021,0,69,69,1.0,71,47.77,0.0425,0.0971,0.0011,0.0887,dense_random,dense_random,32x32
drimaps_no_classify,60,13579,0.35,False,21,112,1028,2.0533,1.0836,0,210,210,1.0,287,47.77,0.0349,0.0805,0.0146,0.1515,dense_random,dense_random,32x32
drimaps_no_minimal,60,13579,0.2167,False,13,91,607,2.1904,1.4892,0,354,354,1.0,1167,47.77,0.035,0.0959,0.0165,0.5276,dense_random,dense_random,32x32
drimaps,80,13579,0.175,False,14,155,830,2.3186,1.974,0,420,420,1.0,753,47.77,0.0534,0.1975,0.0248,0.6441,dense_random,dense_random,32x32
drimaps_no_cycle,80,13579,0.05,False,4,101,153,1.8733,1.4431,0,66,66,1.0,71,47.77,0.0527,0.2343,0.0016,0.1071,dense_random,dense_random,32x32
drimaps_no_classify,80,13579,0.1625,False,13,206,1055,4.0609,1.6931,0,403,403,1.0,563,47.77,0.0535,0.2078,0.0251,0.3424,dense_random,dense_random,32x32
drimaps_no_minimal,80,13579,0.1875,False,15,164,971,3.9067,2.4448,0,559,559,1.0,1991,47.77,0.0524,0.195,0.024,1.1203,dense_random,dense_random,32x32
drimaps,60,24680,0.35,False,21,73,744,2.0886,1.2856,0,296,296,1.0,419,47.77,0.0355,0.0792,0.0148,0.3298,dense_random,dense_random,32x32
drimaps_no_cycle,60,24680,0.1,False,6,27,93,1.1759,1.0776,0,67,67,1.0,71,47.77,0.037,0.1144,0.0011,0.1011,dense_random,dense_random,32x32
drimaps_no_classify,60,24680,0.3833,False,23,196,1343,3.4543,1.1801,0,255,255,1.0,339,47.77,0.0351,0.0809,0.0138,0.2047,dense_random,dense_random,32x32
drimaps_no_minimal,60,24680,0.1667,False,10,54,298,2.0248,1.747,0,425,425,1.0,1316,47.77,0.0357,0.1067,0.0165,0.7128,dense_random,dense_random,32x32
drimaps,80,24680,0.3375,False,27,108,1076,2.2075,1.3229,0,419,419,1.0,595,47.77,0.0457,0.134,0.0182,0.458,dense_random,dense_random,32x32
drimaps_no_cycle,80,24680,0.1,False,8,55,147,1.1707,1.1232,0,169,169,1.0,183,47.77,0.0461,0.1927,0.0013,0.245,dense_random,dense_random,32x32
drimaps_no_classify,80,24680,0.325,False,26,197,1520,3.9228,1.2547,0,378,378,1.0,639,47.77,0.045,0.1441,0.0181,0.3964,dense_random,dense_random,32x32
drimaps_no_minimal,80,24680,0.2625,False,21,96,721,2.0245,1.8435,0,519,519,1.0,1571,47.77,0.0458,0.1504,0.02,0.9697,dense_random,dense_random,32x32
